旧コード,授業名,厳密候補数(同名+曜日+講時+学期),厳密候補コード,同名候補数,同名候補コード(先頭10),判定
CB13203,英語II-A,11,CB13204 / CB13205 / CB13206 / CB13212 / CB13213 / CB13214 / CB13215 / CB13216 / CB13217 / CB13218 / CB13219,63,CB13204 / CB13205 / CB13206 / CB13212 / CB13213 / CB13214 / CB13215 / CB13216 / CB13217 / CB13218,候補複数
CB31220,経済学入門A,1,CB31219,1,CB31219,確定候補あり
CB31229,物理学概論,0,,0,,同名候補なし
CB33220,基礎ドイツ語II,5,CB33211 / CB33212 / CB33213 / CB33214 / CB33215,21,CB21208 / CB21209 / CB21210 / CB22225 / CB22226 / CB22227 / CB23211 / CB23212 / CB23213 / CB23214,候補複数
CB33221,基礎ドイツ語II,5,CB33211 / CB33212 / CB33213 / CB33214 / CB33215,21,CB21208 / CB21209 / CB21210 / CB22225 / CB22226 / CB22227 / CB23211 / CB23212 / CB23213 / CB23214,候補複数
CB33222,基礎ドイツ語II,5,CB33211 / CB33212 / CB33213 / CB33214 / CB33215,21,CB21208 / CB21209 / CB21210 / CB22225 / CB22226 / CB22227 / CB23211 / CB23212 / CB23213 / CB23214,候補複数
CB33223,基礎ドイツ語II,5,CB33211 / CB33212 / CB33213 / CB33214 / CB33215,21,CB21208 / CB21209 / CB21210 / CB22225 / CB22226 / CB22227 / CB23211 / CB23212 / CB23213 / CB23214,候補複数
CB33224,基礎ドイツ語II,5,CB33211 / CB33212 / CB33213 / CB33214 / CB33215,21,CB21208 / CB21209 / CB21210 / CB22225 / CB22226 / CB22227 / CB23211 / CB23212 / CB23213 / CB23214,候補複数
CB33225,基礎フランス語II,3,CB33242 / CB33243 / CB33244,13,CB21221 / CB21222 / CB22234 / CB22235 / CB23246 / CB23247 / CB24218 / CB24219 / CB32240 / CB32241,候補複数
CB33226,基礎フランス語II,3,CB33242 / CB33243 / CB33244,13,CB21221 / CB21222 / CB22234 / CB22235 / CB23246 / CB23247 / CB24218 / CB24219 / CB32240 / CB32241,候補複数
CB33227,基礎フランス語II,3,CB33242 / CB33243 / CB33244,13,CB21221 / CB21222 / CB22234 / CB22235 / CB23246 / CB23247 / CB24218 / CB24219 / CB32240 / CB32241,候補複数
CB33228,基礎スペイン語II,2,CB33206 / CB33207,14,CB21203 / CB21204 / CB21205 / CB22219 / CB22220 / CB23204 / CB23205 / CB24208 / CB24209 / CB24210,候補複数
CB33229,基礎スペイン語II,2,CB33206 / CB33207,14,CB21203 / CB21204 / CB21205 / CB22219 / CB22220 / CB23204 / CB23205 / CB24208 / CB24209 / CB24210,候補複数
CB35104,イタリア語I,0,,1,CB35103,同名1件(曜日/講時/学期ずれ)
CB42209,文化理解,0,,14,CB22223 / CB24112 / CB24113 / CB25209 / CB33209 / CB42206 / CB42207 / CB44109 / CB45205 / CB52106,同名複数(条件ずれ)
CB42223,日本語B,0,,1,CB42204,同名1件(曜日/講時/学期ずれ)
CB43213,国際事情,0,,7,CB12202 / CB32108 / CB41102 / CB41201 / CB45111 / CB45204 / CB53204,同名複数(条件ずれ)
CB43214,国際教養PBL,0,,7,CB25107 / CB34104 / CB34201 / CB34203 / CB42120 / CB44108 / CB55206,同名複数(条件ずれ)
CB44203,国際教養PBL,2,CB34201 / CB34203,7,CB25107 / CB34104 / CB34201 / CB34203 / CB42120 / CB44108 / CB55206,候補複数
CB51113,英語I-B,12,CB51120 / CB51121 / CB51122 / CB51123 / CB51124 / CB51125 / CB51126 / CB51127 / CB51128 / CB51130 / CB51131 / CB51132,62,CB41120 / CB41121 / CB41122 / CB41123 / CB41124 / CB41125 / CB41126 / CB41127 / CB42130 / CB42131,候補複数
CB53207,国際事情,0,,7,CB12202 / CB32108 / CB41102 / CB41201 / CB45111 / CB45204 / CB53204,同名複数(条件ずれ)
CB54203,英語II-B,6,CB54205 / CB54206 / CB54207 / CB54208 / CB54209 / CB54210,61,CB41216 / CB41217 / CB41218 / CB41219 / CB41220 / CB41221 / CB41222 / CB41223 / CB42224 / CB42225,候補複数
CB54204,英語II-B,6,CB54205 / CB54206 / CB54207 / CB54208 / CB54209 / CB54210,61,CB41216 / CB41217 / CB41218 / CB41219 / CB41220 / CB41221 / CB41222 / CB41223 / CB42224 / CB42225,候補複数
