授業コード,授業名(時間割),連絡先CSVに存在
CB13101,学問論,YES
CB13203,英語II-A,NO
CB13204,英語II-A,YES
CB13205,英語II-A,YES
CB13206,英語II-A,YES
CB13213,英語II-A,YES
CB13214,英語II-A,YES
CB13215,英語II-A,YES
CB13216,英語II-A,YES
CB13217,英語II-A,YES
CB13218,英語II-A,YES
CB13219,英語II-A,YES
CB14204,伝統文化と哲学,YES
CB14212,現代経済法の基礎理論,YES
CB14213,現代経済法の基礎理論,YES
CB15201,ナノ・マイクロ科学概論,YES
CB15202,汎用的技能ワークショップ,YES
CB15203,多文化特定課題,YES
CB15204,グローバル特定課題,YES
CB15206,Jヴィレッジ訪問,YES
CB15207,キャリアデザインA,YES
CB15208,数理統計学概論,YES
CB21101,物理学概論I,YES
CB22128,英語I-A,YES
CB23106,情報とデータの基礎,YES
CB23206,日本国憲法,YES
CB23207,文化と社会の探求,YES
CB23208,多文化間コミュニケーション,YES
CB23209,多文化PBL,YES
CB23210,グローバル特定課題,YES
CB23238,経済学入門B,YES
CB24105,生命科学A,YES
CB24202,物理学概論II,YES
CB24206,天文学概論,YES
CB24207,数理統計学概論,YES
CB24212,現代経済法の基礎理論,YES
CB24213,多文化社会の探求,YES
CB25102,多文化間コミュニケーション,YES
CB25114,基礎ロシア語I,YES
CB25116,基礎朝鮮語I,YES
CB25201,データ科学・AI概論,YES
CB25214,基礎ロシア語II,YES
CB25216,基礎朝鮮語II,YES
CB25217,基礎朝鮮語II,YES
CB31101,線形代数学概論,YES
CB31103,化学A,YES
CB31201,哲学,YES
CB31202,倫理学,YES
CB31203,文学,YES
CB31204,芸術,YES
CB31205,芸術,YES
CB31206,歴史学,YES
CB31207,言語学・日本語科学,YES
CB31208,心理学,YES
CB31209,心理学,YES
CB31210,文化人類学,YES
CB31211,法学,YES
CB31212,政治学,YES
CB31215,インクルージョン社会,YES
CB31216,エネルギーや資源と持続可能性,YES
CB31217,生命と自然,YES
CB31218,自然と環境,YES
CB31219,情報と人間・社会,YES
CB31220,経済学入門A,NO
CB31229,物理学概論,NO
CB32110,スポーツA,YES
CB32201,解析学概論,YES
CB32202,解析学概論,YES
CB32203,解析学概論,YES
CB32204,解析学概論,YES
CB32207,物理学概論,YES
CB32208,化学基礎論,YES
CB32209,解析学概論,YES
CB32210,文化理解,YES
CB33111,文化と社会の探求,YES
CB33114,基礎ドイツ語I,YES
CB33119,基礎フランス語I,YES
CB33122,基礎スペイン語I,YES
CB33124,基礎中国語I,YES
CB33220,基礎ドイツ語II,NO
CB33221,基礎ドイツ語II,NO
CB33222,基礎ドイツ語II,NO
CB33223,基礎ドイツ語II,NO
CB33224,基礎ドイツ語II,NO
CB33225,基礎フランス語II,NO
CB33226,基礎フランス語II,NO
CB33227,基礎フランス語II,NO
CB33228,基礎スペイン語II,NO
CB33229,基礎スペイン語II,NO
CB33230,基礎中国語II,YES
CB33231,基礎中国語II,YES
CB33232,基礎中国語II,YES
CB33233,基礎中国語II,YES
CB34104,国際事情,YES
CB34105,流体力学の基礎,YES
CB34201,多文化PBL,YES
CB34203,AI、IoT時代の公共ポリシーを国際的な観点から考察する,YES
CB34204,キャリア関連,YES
CB34205,日本文化論,YES
CB35101,多文化間コミュニケーション,YES
CB35102,グローバルPBL,YES
CB35103,海の自然災害と防災・減災,YES
CB35104,イタリア語I,NO
CB35201,東北アジア地域研究入門,YES
CB35202,情報教育特別講義（統計数理モデリング）,YES
CB35203,文化と社会の探求,YES
CB35204,グローバル学習,YES
CB35205,グローバルPBL,YES
CB35206,ユーラシア大陸を考える,YES
CB35207,イタリア語II,YES
CB41111,生命科学B,YES
CB42101,論理学,YES
CB42103,倫理学,YES
CB42105,歴史学,YES
CB42109,社会学,YES
CB42111,経済と社会,YES
CB42113,法学,YES
CB42114,政治学,YES
CB42207,国際教養特定課題,YES
CB42208,文化理解,YES
CB42209,文化理解,NO
CB42210,多文化特定課題,YES
CB42211,グローバルPBL,YES
CB42223,日本語B,NO
CB42224,教育課程論,YES
CB43105,自然科学総合実験,YES
CB43213,国際事情,NO
CB43214,国際教養PBL,NO
CB43227,日本語H,YES
CB43228,読んで書いて話す,YES
CB43230,多文化特定課題,YES
CB44203,国際教養PBL,NO
CB44204,多文化PBL,YES
CB44206,教育の制度と経営,YES
CB45101,情報教育特別講義,YES
CB45201,情報教育特別講義（AIをめぐる人間と社会）,YES
CB45204,福島の復興・再生,YES
CB45205,物理の思想と美学,YES
CB45206,物理学の最前線と現代社会、そして未来社会,YES
CB45207,多文化特定課題,YES
CB45208,アラビア語II,YES
CB45209,多文化PBL,YES
CB51113,英語I-B,NO
CB52101,数理統計学概論,YES
CB53207,国際事情,NO
CB53208,多文化PBL,YES
CB54101,生命科学C,YES
CB54202,英語II-B,YES
CB54203,英語II-B,NO
CB54204,英語II-B,NO
CB54205,英語II-B,YES
CB54206,英語II-B,YES
CB54207,英語II-B,YES
CB54208,英語II-B,YES
CB54209,英語II-B,YES
CB54210,英語II-B,YES
CB55101,実践的機械学習I,YES
CB55201,日本国憲法,YES
CB55202,実践的機械学習II,YES
CB55203,文化理解,YES
CB55204,多文化間コミュニケーション,YES
CB55205,汎用的技能ワークショップ,YES
CB55206,キャリア教育特別講義（ジャーナリズムと社会）,YES
CB55207,キャリア教育特別講義（口腔保健学総論）,YES
CB55210,SDGs入門,YES
CB55211,アルゴリズミック思考の基礎,YES
CB55212,グローバルリーダーシップ論,YES
CB55213,アントレプレナーシップ思考,YES
CB55214,グローバル特定課題,YES
CB55215,体育学のすすめ,YES
CB55216,SDGs入門,YES
CB55217,アルゴリズミック思考の基礎,YES
